"","G20","isEU"
"1","Argentina",FALSE
"2","Australia",FALSE
"3","Brazil",FALSE
"4","Canada",FALSE
"5","China",FALSE
"6","France",TRUE
"7","Germany",TRUE
"8","India",FALSE
"9","Indonesia",FALSE
"10","Italy",TRUE
"11","Japan",FALSE
"12","Korea, South",FALSE
"13","Mexico",FALSE
"14","Russia",FALSE
"15","Saudi Arabia",FALSE
"16","South Africa",FALSE
"17","Turkey",FALSE
"18","United Kingdom",FALSE
"19","US",FALSE
"20","Austria",TRUE
"21","Belgium",TRUE
"22","Bulgaria",TRUE
"23","Croatia",TRUE
"24","Cyprus",TRUE
"25","Czechia",TRUE
"26","Denmark",TRUE
"27","Estonia",TRUE
"28","Finland",TRUE
"29","Greece",TRUE
"30","Hungary",TRUE
"31","Ireland",TRUE
"32","Latvia",TRUE
"33","Lithuania",TRUE
"34","Luxembourg",TRUE
"35","Malta",TRUE
"36","Netherlands",TRUE
"37","Poland",TRUE
"38","Portugal",TRUE
"39","Romania",TRUE
"40","Slovakia",TRUE
"41","Slovenia",TRUE
"42","Spain",TRUE
"43","Sweden",TRUE
