State,StateCode,areasqm,areasqk,landsqm,landsqk
Alabama,AL,52420.21341,135768.3527,50644,131167.96
Alaska,AK,664987.9118,1722318.692,570665,1478022.35
Arizona,AZ,113990.4859,295235.3584,113595,294211.05
Arkansas,AR,53178.22273,137731.5969,52030,134757.7
California,CA,163693.9928,423967.4414,155766,403433.94
Colorado,CO,104094.2883,269604.2068,103641,268430.19
Connecticut,CT,5543.632314,14358.00769,4840,12535.6
Delaware,DE,2488.500013,6445.215033,1949,5047.91
District of Columbia,DC,68.38684349,177.1219246,61,157.99
Florida,FL,65757.546,170312.0441,53603,138831.77
Georgia,GA,59424.99099,153910.7267,57501,148927.59
Hawaii,HI,10926.49578,28299.62407,6428,16648.52
Idaho,ID,83568.43743,216442.2529,82643,214045.37
Illinois,IL,57915.98787,150002.4086,55518,143791.62
Indiana,IN,36417.39406,94321.05061,35823,92781.57
Iowa,IA,56272.77715,145746.4928,55858,144672.22
Kansas,KS,82278.29617,213100.7871,81762,211763.58
Kentucky,KY,40411.07125,104664.6745,39492,102284.28
Louisiana,LA,51988.0418,134649.0283,43199,111885.41
Maine,ME,35383.8593,91644.19558,30841,79878.19
Maryland,MD,12405.95237,32131.41664,9705,25135.95
Massachusetts,MA,10554.39176,27335.87465,7801,20204.59
Michigan,MI,96712.83465,250486.2417,56528,146407.52
Minnesota,MN,86935.35418,225162.5673,79607,206182.13
Mississippi,MS,48431.54463,125437.7006,46920,121522.8
Missouri,MO,69702.48053,180529.4246,68716,177974.44
Montana,MT,147039.084,380831.2276,145541,376951.19
Nebraska,NE,77349.14982,200334.298,76825,198976.75
Nevada,NV,110572.2447,286382.1137,109780,284330.2
New Hampshire,NH,9347.517771,24210.07103,8952,23185.68
New Jersey,NJ,8722.603163,22591.54219,7354,19046.86
New Mexico,NM,121590.1572,314918.5072,121297,314159.23
New York,NY,54555.05564,141297.5941,47126,122056.34
North Carolina,NC,53819.0114,139391.2395,48619,125923.21
North Dakota,ND,70698.33317,183108.6829,69001,178712.59
Ohio,OH,44825.1225,116097.0673,40858,105822.22
Oklahoma,OK,69898.83903,181037.9931,68603,177681.77
Oregon,OR,98378.76377,254800.9982,95985,248601.15
Pennsylvania,PA,46054.515,119281.1938,44739,115874.01
Rhode Island,RI,1544.885383,4001.253142,1034,2678.06
South Carolina,SC,32020.7097,82933.63812,30070,77881.3
South Dakota,SD,77115.98024,199730.3888,75811,196350.49
Tennessee,TN,42144.41369,109154.0315,41235,106798.65
Texas,TX,268596.923,695666.0305,261226,676575.34
Utah,UT,84896.94392,219883.0848,82191,212874.69
Vermont,VT,9616.376632,24906.41548,9217,23872.03
Virginia,VA,42774.82839,110786.8055,39493,102286.87
Washington,WA,71297.58484,184660.7447,66449,172102.91
West Virginia,WV,24229.85258,62755.31817,24038,62258.42
Wisconsin,WI,65496.44744,169635.7989,54154,140258.86
Wyoming,WY,97812.45991,253334.2712,97088,251457.92
Puerto Rico,PR,5324.84124,13791.33881,3424,8868.16
