"","State","Population"
"1","Alabama",4903185
"2","Alaska",731545
"3","Arizona",7278717
"4","Arkansas",3017804
"5","California",39512223
"6","Colorado",5758736
"7","Connecticut",3565287
"8","Delaware",973764
"9","District of Columbia",705749
"10","Florida",21477737
"11","Georgia",10617423
"12","Hawaii",1415872
"13","Idaho",1787065
"14","Illinois",12671821
"15","Indiana",6732219
"16","Iowa",3155070
"17","Kansas",2913314
"18","Kentucky",4467673
"19","Louisiana",4648794
"20","Maine",1344212
"21","Maryland",6045680
"22","Massachusetts",6892503
"23","Michigan",9986857
"24","Minnesota",5639632
"25","Mississippi",2976149
"26","Missouri",6137428
"27","Montana",1068778
"28","Nebraska",1934408
"29","Nevada",3080156
"30","New Hampshire",1359711
"31","New Jersey",8882190
"32","New Mexico",2096829
"33","New York",19453561
"34","North Carolina",10488084
"35","North Dakota",762062
"36","Ohio",11689100
"37","Oklahoma",3956971
"38","Oregon",4217737
"39","Pennsylvania",12801989
"40","Rhode Island",1059361
"41","South Carolina",5148714
"42","South Dakota",884659
"43","Tennessee",6829174
"44","Texas",28995881
"45","Utah",3205958
"46","Vermont",623989
"47","Virginia",8535519
"48","Washington",7614893
"49","West Virginia",1792147
"50","Wisconsin",5822434
"51","Wyoming",578759
"52","Puerto Rico",3193694
"53","American Samoa",55465
"54","Guam",165768
"55","Northern Mariana Islands",56882
"56","Virgin Islands",106977
"57","Diamond Princess",2437
"58","Grand Princess",2451
"59","US Military",1359778
"60","Federal Bureau of Prisons",172349
"61","Veteran Hospitals",9000000
